iter	Passed	Remaining
0	47	47113
1	48	24032
2	49	16310
3	49	12425
4	50	10141
5	51	8566
6	52	7435
7	53	6593
8	53	5935
9	54	5409
10	55	4981
11	56	4618
12	56	4320
13	57	4059
14	58	3829
15	58	3625
16	60	3489
17	61	3331
18	61	3188
19	62	3060
20	63	2941
21	63	2829
22	64	2729
23	64	2634
24	65	2549
25	65	2468
26	66	2395
27	67	2326
28	67	2266
29	68	2205
30	68	2148
31	69	2097
32	69	2045
33	70	1995
34	70	1948
35	71	1902
36	72	1878
37	72	1837
38	72	1798
39	73	1761
40	75	1757
41	75	1725
42	76	1694
43	76	1663
44	76	1631
45	77	1603
46	77	1575
47	78	1547
48	78	1521
49	78	1497
50	79	1473
51	79	1449
52	79	1426
53	80	1405
54	80	1384
55	80	1364
56	81	1344
57	81	1325
58	82	1308
59	82	1290
60	82	1273
61	83	1257
62	83	1240
63	83	1223
64	83	1207
65	84	1191
66	84	1176
67	84	1159
68	84	1145
69	85	1132
70	85	1121
71	86	1110
72	86	1099
73	86	1088
74	87	1076
75	87	1065
76	88	1055
77	88	1044
78	88	1034
79	89	1025
80	89	1017
81	90	1009
82	90	1001
83	91	992
84	91	982
85	91	975
86	92	965
87	92	958
88	92	951
89	93	944
90	93	937
91	94	929
92	94	922
93	94	915
94	95	908
95	95	903
96	96	897
97	96	890
98	97	883
99	97	879
100	98	873
101	98	866
102	98	860
103	99	854
104	99	847
105	99	841
106	100	835
107	100	830
108	100	825
109	101	820
110	101	815
111	102	810
112	102	805
113	102	800
114	103	794
115	103	789
116	103	784
117	104	779
118	104	774
119	105	770
120	105	766
121	105	762
122	106	757
123	106	753
124	107	749
125	107	745
126	107	741
127	108	736
128	108	732
129	108	729
130	109	725
131	109	721
132	110	717
133	110	714
134	110	710
135	111	707
136	111	703
137	112	703
138	113	700
139	113	696
140	113	693
141	114	690
142	114	686
143	114	683
144	115	680
145	115	677
146	116	674
147	116	671
148	116	668
149	117	665
150	117	662
151	118	659
152	119	663
153	120	661
154	121	661
155	121	659
156	122	656
157	122	653
158	123	650
159	123	648
160	123	645
161	124	643
162	124	641
163	125	639
164	125	637
165	126	635
166	127	633
167	127	632
168	128	629
169	128	627
170	128	624
171	129	622
172	129	620
173	130	618
174	130	615
175	131	613
176	131	612
177	132	610
178	132	608
179	133	606
180	133	603
181	133	600
182	134	598
183	134	596
184	134	594
185	135	592
186	135	590
187	136	588
188	136	586
189	137	584
190	138	587
191	139	585
192	139	583
193	140	581
194	140	579
195	140	578
196	141	576
197	141	574
198	142	572
199	142	570
200	143	568
201	143	566
202	144	565
203	144	563
204	144	561
205	145	559
206	145	557
207	146	555
208	146	554
209	146	552
210	147	550
211	147	548
212	147	546
213	148	544
214	148	542
215	148	540
216	149	538
217	149	535
218	149	533
219	150	532
220	150	530
221	150	528
222	151	527
223	151	525
224	152	525
225	152	523
226	153	522
227	153	521
228	154	519
229	154	518
230	155	516
231	155	514
232	155	513
233	156	511
234	156	510
235	157	508
236	157	506
237	157	504
238	158	503
239	158	501
240	158	499
241	159	498
242	159	496
243	159	494
244	160	493
245	160	492
246	161	490
